school_year,system_id,school_name,grade_band,measure,measurename,score_type,scsc_school_score,school_comparison_score,district_comparison_score,designation
2021-2022,7830625,Yi Hwang Academy of Language Excellence,E,1a,Content Mastery,percentage,93.9,81.2,73.3,Y
2022-2023,7830623,Academy For Classical Education,M,1d,Value-Add,decimal,-0.05084997043013573,-0.03538125312934426,-0.0361975150347007,N
2022-2023,7830643,Amana Academy West Atlanta,Whole School Score,2a,Content Mastery,percentage,75.79999999999995,52.885714285714265,70.32514285714285,Y
2021-2022,7820615,Scintilla Charter Academy,Whole School Score,2a,Content Mastery,percentage,89.23305647840533,59.36904560501783,"",Y
2022-2023,7820120,Georgia Cyber Academy,H,1d,Value-Add,decimal,0.06024607643485069,0.006913290849411169,0.0030023770865739152,Y
2021-2022,7830627,Atlanta SMART Academy,E,1a,Content Mastery,percentage,31.6,34.4,54.6,N
2020-2021,7830633,D.E.L.T.A. STEAM Academy,E,1a-a,Content Mastery Adjusted,percentage,49.42599655856814,28.540960959866915,"",Y
2022-2023,7820616,Georgia School for Innovation and the Classics,E,1d,Value-Add,decimal,-0.07771530002355576,-0.026277302582911943,-0.018738624850811902,N
2022-2023,7830625,Yi Hwang Academy of Language Excellence,E,1d,Value-Add,decimal,0.3062466084957123,0.027786755387751327,0.021003293040848803,Y
2021-2022,7820617,Dubois Integrity Academy,M,1a,Content Mastery,percentage,41.5,33.6,37.2,Y
2022-2023,7830630,Baconton Community Charter School,M,1d,Value-Add,decimal,0.08199970424175262,0.06693433976033702,0.09620286522840615,N
2022-2023,7830618,SAIL Charter Academy - School for Arts-Infused Learning,E,1d,Value-Add,decimal,-0.24429240822792053,0.0434606451711943,0.03749327365949284,N
2020-2021,7830624,Spring Creek Charter Academy,M,1a-a,Content Mastery Adjusted,percentage,41.95270792678238,48.70866524136977,"",N
2022-2023,7830626,Furlow Charter School,M,1d,Value-Add,decimal,0.014316479675471783,0.0836104154586792,0.08417884296977718,N
2021-2022,7830310,Fulton Leadership Academy,M,1b,Progress,percentage,76.7,74.6,"",Y
2020-2021,7830410,Atlanta Heights Charter School,E,1a-a,Content Mastery Adjusted,percentage,12.128359527882443,5.366836346930171,"",Y
2022-2023,7820616,Georgia School for Innovation and the Classics,M,1c,Grade Band Score,percentage,80.50999999999999,60.609063745019924,61.884641434262946,Y
2022-2023,7830632,Atlanta Unbound Academy,E,1b,Progress,percentage,"",86.17950310559007,89.35900621118013,Y
2022-2023,7830612,Southwest Georgia S.T.E.M. Charter Academy,E,1b,Progress,percentage,75.4,88.56742424242425,88.93143939393939,N
2022-2023,7830210,Pataula Charter Academy,H,1d,Value-Add,decimal,-0.09283347427845001,0.1827054476016201,0.18312055367277935,N
2022-2023,7820110,Odyssey Charter School,Whole School Score,2d,Value-Add,decimal,-0.04131525754928589,-0.033483205073935096,0.0033197343836945947,N
2020-2021,7820615,Scintilla Charter Academy,M,1f,GaDOE Achievement,percentage,71.155,52.48689655172414,"",Y
2021-2022,7830617,Resurgence Hall Charter School,Whole School Score,2a,Content Mastery,percentage,87.6,42.6,"",Y
2022-2023,7830612,Southwest Georgia S.T.E.M. Charter Academy,Whole School Score,2d,Value-Add,decimal,-0.04066987708210945,0.1017921067905263,0.09684144328275579,N
2021-2022,7820110,Odyssey Charter School,E,1b,Progress,percentage,76.8,82.2,"",N
2021-2022,7830633,D.E.L.T.A. STEAM Academy,E,1d,Value-Add,decimal,-0.1732,0.0754,"",N
