school_name,school_year,system_id,enrolled_total,enrolled_elementary,enrolled_middle,enrolled_high
Baconton Community Charter School,2019-2020,7830630,857,393,219,201
Ivy Preparatory Academy at Kirkwood,2022-2023,7820612,450,292,158,0
Dubois Integrity Academy,2019-2020,7820617,760,760,0,0
Amana Academy West Atlanta,2022-2023,7830643,166,166,0,0
Liberty Tech Charter School,2022-2023,7830614,417,289,128,0
Ivy Preparatory Academy  Inc,2019-2020,7820612,471,293,178,0
Pataula Charter Academy,2019-2020,7830210,557,265,132,160
Scintilla Charter Academy,2019-2020,7820615,568,499,69,0
Yi Hwang Academy of Language Excellence,2020-2021,7830625,121,121,0,0
Academy For Classical Education,2019-2020,7830623,1764,862,432,470
Delta STEAM Academy,2022-2023,7830633,292,292,0,0
Southwest Georgia S.T.E.M. Charter Academy,2019-2020,7830612,339,188,105,18
Genesis Innovation Academy for Boys,2021-2022,7830615,334,210,101,23
Utopian Academy for the Arts Charter School,2019-2020,7820121,256,0,256,0
Yi Hwang Academy of Language Excellence,2022-2023,7830625,301,301,0,0
SAIL Charter Academy - School for Arts-Infused Learning,2022-2023,7830618,568,426,142,0
DeKalb Brilliance Academy,2022-2023,7830637,171,171,0,0
Statesboro STEAM Academy,2021-2022,7830103,174,0,86,88
Spring Creek Charter Academy,2022-2023,7830624,413,275,114,24
Georgia Connections Academy,2020-2021,7820412,4673,249,2049,2375
Liberty Tech Charter Academy,2021-2022,7830614,405,279,126,0
Utopian Academy for the Arts Charter School,2022-2023,7820121,390,0,390,0
Scintilla Charter Academy,2020-2021,7820615,523,476,47,0
Ivy Preparatory Academy,2021-2022,7820612,414,271,143,0
Resurgence Hall Charter School,2019-2020,7830617,248,226,22,0
Georgia Connections Academy,2021-2022,7820412,4948,272,2102,2574
Odyssey Charter School,2022-2023,7820110,339,264,75,0
Resurgence Hall Charter School,2021-2022,7830617,381,381,0,0
Resurgence Hall Charter School,2022-2023,7830617,403,403,0,0
Southwest Georgia STEM Charter Academy,2022-2023,7830612,486,251,122,91
Cherokee Charter Academy,2021-2022,7820212,660,479,181,0
Fulton Leadership Academy,2020-2021,7830310,287,0,187,100
Ethos Classical Charter School,2019-2020,7830628,120,120,0,0
Statesboro STEAM Academy,2020-2021,7830103,165,0,80,85
International Academy of Smyrna,2019-2020,7830619,399,381,18,0
Genesis Innovation Academy for Boys,2022-2023,7830615,304,203,101,0
International Charter School of Atlanta,2021-2022,7820614,816,674,142,0
Ethos Classical Charter School,2021-2022,7830628,339,339,0,0
SAIL Charter Academy - School for Arts-Infused Learning,2021-2022,7830618,567,426,141,0
Cirrus Academy Charter School,2022-2023,7830611,469,313,156,0
Georgia Connections Academy,2022-2023,7820412,6373,1271,2112,2990
Destination Career Aademy of Georgia,2022-2023,7830642,389,0,389,0
Georgia Cyber Academy,2020-2021,7820120,10164,4544,2567,3053
Coweta Charter Academy,2020-2021,7830610,749,570,179,0
Fulton Leadership Academy,2022-2023,7830310,227,0,119,108
Academy for Classical Education,2022-2023,7830623,1807,860,443,504
DuBois Integrity Academy,2022-2023,7820617,1320,1058,262,0
Academy For Classical Education,2020-2021,7830623,1801,862,435,504
Utopian Academy for the Arts Charter School,2020-2021,7820121,404,0,404,0
Georgia School for Innovation and the Classics,2019-2020,7820616,677,381,211,85
Furlow Charter School,2021-2022,7830626,573,291,143,139
Cherokee Charter Academy,2022-2023,7820212,622,440,182,0
SLAM Academy of Atlanta,2020-2021,7830621,88,88,0,0
Resurgence Hall Middle Academy,2022-2023,7830641,77,77,0,0
Coweta Charter Academy,2022-2023,7830610,789,614,175,0
Southwest Georgia S.T.E.M. Charter Academy,2020-2021,7830612,368,212,117,17
Furlow Charter School,2022-2023,7830626,573,284,139,150
Ethos Classical Charter School,2020-2021,7830628,240,240,0,0
Pataula Charter Academy,2020-2021,7830210,581,273,136,172
Georgia Fugees Academy Charter School,2022-2023,7830634,163,0,114,49
