school_year,system_id,school_name,measure_1a_points,measure_1c_points,measure_1d_points,measure_1e_points,measure_2a_points,measure_2b_points,financial_section_toal,designation
2019-2020,7830623,Academy for Classical Education,15,15,10,10,15,0,80,Meets
2020-2021,7820120,Georgia Cyber Academy,15,15,15,10,15,15,100,Meets
2021-2022,7830620,International Charter Academy of Georgia,15,0,10,10,15,15,80,Meets
2021-2022,7830636,Northwest Classical Academy,15,15,15,10,15,15,100,Meets
2022-2023,7830611,Cirrus Academy Charter School,15,0,10,10,15,15,80,Meets
2022-2023,7830310,Fulton Leadership Academy,15,0,10,10,15,0,60,Does Not Meet
2021-2022,7830618,SAIL Charter Academy - School for Arts-Infused Learning,15,10,0,10,15,0,65,Does Not Meet
2019-2020,7820614,International Charter School of Atlanta,15,10,15,10,15,15,95,Meets
2019-2020,7830621,SLAM Academy of Atlanta,15,0,10,10,15,15,80,Meets
2020-2021,7830210,Pataula Charter Academy,15,15,10,10,15,15,95,Meets
2020-2021,7830632,Atlanta Unbound Academy,15,15,15,10,15,15,100,Meets
2019-2020,7830103,Statesboro STEAM Academy,15,10,15,10,10,15,90,Meets
2020-2021,7820212,Cherokee Charter Academy,15,15,15,10,10,15,95,Meets
2019-2020,7820212,Cherokee Charter Academy,15,0,15,10,10,15,80,Meets
2021-2022,7820121,Utopian Academy for the Arts Charter School,15,10,15,10,15,15,90,Meets
2020-2021,7830619,International Academy of Smyrna,15,15,0,10,15,0,70,Approaches
2021-2022,7820212,Cherokee Charter Academy,15,10,0,10,15,15,80,Meets
2019-2020,7820617,DuBois Integrity Academy,15,15,0,10,15,15,80,Meets
2021-2022,7830210,Pataula Charter Academy,15,15,10,10,15,15,95,Meets
2020-2021,7830625,Yi Hwang Academy of Language Excellence,15,15,15,10,15,15,85,Meets
2022-2023,7820212,Cherokee Charter Academy,15,0,0,10,10,10,55,Does Not Meet
2020-2021,7830621,SLAM Academy of Atlanta,15,15,10,10,15,15,95,Meets
2019-2020,7830615,Genesis Innovation Academy for Boys,15,0,15,10,15,15,85,Meets
2020-2021,7830626,Furlow Charter School,15,15,15,10,15,15,100,Meets
2022-2023,7820412,Georgia Connections Academy,15,15,15,10,15,15,100,Meets
2020-2021,7830623,Academy For Classical Education,15,15,10,10,15,15,95,Meets
2020-2021,7820110,Odyssey Charter School,15,15,15,10,15,15,100,Meets
2022-2023,7820615,Scintilla Charter Academy,15,15,10,10,15,15,95,Meets
2022-2023,7820614,International Charter School of Atlanta,15,15,15,10,15,15,100,Meets
2019-2020,7830310,Fulton Leadership Academy,15,0,15,0,10,0,55,Does Not Meet
2021-2022,7830627,Atlanta SMART Academy,15,15,15,10,15,10,90,Meets
2020-2021,7830614,Liberty Tech Charter Academy,15,15,15,10,15,15,100,Meets
2020-2021,7830610,Coweta Charter Academy,15,15,10,10,15,0,80,Meets
2020-2021,7820121,Utopian Academy for the Arts Charter School,15,15,10,10,15,15,95,Meets
2021-2022,7830616,Genesis Innovation Academy for Girls,15,0,15,10,15,15,85,Meets
2020-2021,7820617,Dubois Integrity Academy,15,15,0,10,15,15,85,Meets
2022-2023,7820121,Utopian Academy for the Arts Charter School,15,10,15,10,15,15,80,Meets
2022-2023,7830633,Delta STEAM Academy,15,0,15,10,15,15,85,Meets
2022-2023,7820110,Odyssey Charter School,15,10,15,10,15,15,95,Meets
