system_id,school_name,grades_served,address,city,zip,grade_band,charter_term,attendance_zone,school_year,academic_designation,financial_designation,ops_designation,ops_score,financial_score
7830630,Baconton Community Charter School,PK-12,260 East Walton Street,Baconton,31716,"E,M,H",July 2019 - June 2025,"Baker County, Dougherty County, Lee County, Mitchell County, Worth County",2020-2021,Meets,Meets,Meets,81,100
7830630,Baconton Community Charter School,PK-12,260 East Walton Street,Baconton,31716,"E,M,H",July 2019 - June 2025,"Baker County, Dougherty County, Lee County, Mitchell County, Worth County",2021-2022,Meets,Meets,Meets,80,95
7830630,Baconton Community Charter School,PK-12,260 East Walton Street,Baconton,31716,"E,M,H",July 2019 - June 2025,"Baker County, Dougherty County, Lee County, Mitchell County, Worth County",2019-2020,NA,Meets,Meets,84,95
7830630,Baconton Community Charter School,PK-12,260 East Walton Street,Baconton,31716,"E,M,H",July 2019 - June 2025,"Baker County, Dougherty County, Lee County, Mitchell County, Worth County",2022-2023,Meets,Meets,Approaches,72,100
7830641,Resurgence Hall Middle Academy,5,1706 E. Washington Rd.,College Park,30344,E,July 2022 - June 2027,"Fulton County, Statewide",2022-2023,Meets,Meets,Meets,92,95
7830632,Atlanta Unbound Academy,"K-2,6-8",1743 Harden Avenue,College Park,30337,"E,M",July 2020 - June 2025,Statewide,2022-2023,Meets,Meets,Does Not Meet,62,85
7830632,Atlanta Unbound Academy,"K-2,6-8",1743 Harden Avenue,College Park,30337,"E,M",July 2020 - June 2025,Statewide,2021-2022,Meets,Meets,Meets,88,95
7830632,Atlanta Unbound Academy,"K-2,6-8",1743 Harden Avenue,College Park,30337,"E,M",July 2020 - June 2025,Statewide,2020-2021,Meets,Meets,Approaches,71,100
7830617,Resurgence Hall Charter School,K-4,1706 E. Washington Rd.,College Park,30344,E,July 2023 - June 2028,"Fulton County, Atlanta Public Schools",2019-2020,NA,Meets,Meets,98,90
7830617,Resurgence Hall Charter School,K-4,1706 E. Washington Rd.,College Park,30344,E,July 2023 - June 2028,"Fulton County, Atlanta Public Schools",2022-2023,Meets,Meets,Meets,96,95
7830617,Resurgence Hall Charter School,K-4,1706 E. Washington Rd.,College Park,30344,E,July 2023 - June 2028,"Fulton County, Atlanta Public Schools",2020-2021,Meets,Meets,Meets,87,95
7830617,Resurgence Hall Charter School,K-4,1706 E. Washington Rd.,College Park,30344,E,July 2023 - June 2028,"Fulton County, Atlanta Public Schools",2021-2022,Meets,Meets,Approaches,73,80
7820212,Cherokee Charter Academy,K-8,2126 Sixes Road,Canton,30114,"E,M",July 2018 - June 2024,"Bartow County, Cherokee County, Cobb County, Pickens County, Cartersville City, Marietta City",2019-2020,NA,Meets,Meets,87,80
7820212,Cherokee Charter Academy,K-8,2126 Sixes Road,Canton,30114,"E,M",July 2018 - June 2024,"Bartow County, Cherokee County, Cobb County, Pickens County, Cartersville City, Marietta City",2022-2023,Meets,Does Not Meet,Approaches,73,55
7820212,Cherokee Charter Academy,K-8,2126 Sixes Road,Canton,30114,"E,M",July 2018 - June 2024,"Bartow County, Cherokee County, Cobb County, Pickens County, Cartersville City, Marietta City",2021-2022,Approaches,Meets,Meets,82,80
7820212,Cherokee Charter Academy,K-8,2126 Sixes Road,Canton,30114,"E,M",July 2018 - June 2024,"Bartow County, Cherokee County, Cobb County, Pickens County, Cartersville City, Marietta City",2020-2021,Does Not Meet,Meets,Approaches,78,95
7830615,Genesis Innovation Academy for Boys,K-8,1049 Custer Avenue,Atlanta,30331,"E,M",July 2023 - June 2028,Statewide,2020-2021,Meets,Meets,Meets,84,85
7830615,Genesis Innovation Academy for Boys,K-8,1049 Custer Avenue,Atlanta,30331,"E,M",July 2023 - June 2028,Statewide,2021-2022,Meets,Meets,Meets,92,85
7830615,Genesis Innovation Academy for Boys,K-8,1049 Custer Avenue,Atlanta,30331,"E,M",July 2023 - June 2028,Statewide,2022-2023,Meets,Meets,Approaches,79,85
7830615,Genesis Innovation Academy for Boys,K-8,1049 Custer Avenue,Atlanta,30331,"E,M",July 2023 - June 2028,Statewide,2019-2020,NA,Meets,Meets,94,85
7820412,Georgia Connections Academy,K-12,2763 Meadow Church Road,Duluth,30097,"E,M,H",July 2022 - June 2027,Statewide,2019-2020,NA,Meets,Meets,98,95
7820412,Georgia Connections Academy,K-12,2763 Meadow Church Road,Duluth,30097,"E,M,H",July 2022 - June 2027,Statewide,2020-2021,Meets,Meets,Meets,96,100
7820412,Georgia Connections Academy,K-12,2763 Meadow Church Road,Duluth,30097,"E,M,H",July 2022 - June 2027,Statewide,2021-2022,Meets,Meets,Approaches,79,100
7820412,Georgia Connections Academy,K-12,2763 Meadow Church Road,Duluth,30097,"E,M,H",July 2022 - June 2027,Statewide,2022-2023,Meets,Meets,Meets,80,100
7830620,International Charter Academy of Georgia,K-5,3705 Engineering Drive,Peachtree Corners,30092,E,July 2024 - June 2029,Statewide,2020-2021,Meets,Meets,Meets,82,95
7830620,International Charter Academy of Georgia,K-5,3705 Engineering Drive,Peachtree Corners,30092,E,July 2024 - June 2029,Statewide,2019-2020,NA,Meets,Meets,92,95
7830620,International Charter Academy of Georgia,K-5,3705 Engineering Drive,Peachtree Corners,30092,E,July 2024 - June 2029,Statewide,2022-2023,Meets,Meets,Meets,92,95
7830620,International Charter Academy of Georgia,K-5,3705 Engineering Drive,Peachtree Corners,30092,E,July 2024 - June 2029,Statewide,2021-2022,Meets,Meets,Meets,84,80
7830634,Georgia Fugees Academy Charter School,6-12,4046 Chamblee Tucker Rd,Atlanta,30340,"M,H",July 2020 - June 2025,Statewide,2020-2021,Approaches,Meets,Meets,80,100
7830634,Georgia Fugees Academy Charter School,6-12,4046 Chamblee Tucker Rd,Atlanta,30340,"M,H",July 2020 - June 2025,Statewide,2022-2023,Meets,Does Not Meet,Does Not Meet,58,45
7830634,Georgia Fugees Academy Charter School,6-12,4046 Chamblee Tucker Rd,Atlanta,30340,"M,H",July 2020 - June 2025,Statewide,2021-2022,Does Not Meet,Meets,Meets,80,80
7830614,Liberty Tech Charter School,K-8,119 Price Road,Brooks,30205,"E,M",July 2021 - June 2026,Statewide,2021-2022,Meets,Meets,Meets,98,95
7830614,Liberty Tech Charter School,K-8,119 Price Road,Brooks,30205,"E,M",July 2021 - June 2026,Statewide,2022-2023,Meets,Meets,Meets,92,100
7830614,Liberty Tech Charter School,K-8,119 Price Road,Brooks,30205,"E,M",July 2021 - June 2026,Statewide,2019-2020,NA,Meets,Meets,85,95
7830614,Liberty Tech Charter School,K-8,119 Price Road,Brooks,30205,"E,M",July 2021 - June 2026,Statewide,2020-2021,Meets,Meets,Meets,94,100
7820120,Georgia Cyber Academy,K-12,1745 Phoenix Blvd.,Atlanta,30349,"E,M,H",July 2024 - June 2029,Statewide,2022-2023,Meets,Meets,Approaches,79,80
7820120,Georgia Cyber Academy,K-12,1745 Phoenix Blvd.,Atlanta,30349,"E,M,H",July 2024 - June 2029,Statewide,2020-2021,Meets,Meets,Meets,87,100
7820120,Georgia Cyber Academy,K-12,1745 Phoenix Blvd.,Atlanta,30349,"E,M,H",July 2024 - June 2029,Statewide,2019-2020,NA,Meets,Meets,100,85
7820120,Georgia Cyber Academy,K-12,1745 Phoenix Blvd.,Atlanta,30349,"E,M,H",July 2024 - June 2029,Statewide,2021-2022,Meets,Meets,Meets,93,100
7830611,Cirrus Academy Charter School,K-8,1870 Pio Nono Ave,Macon,31204,"E,M",July 2024 - June 2027,Statewide,2021-2022,Meets,Meets,Approaches,78,95
7830611,Cirrus Academy Charter School,K-8,1870 Pio Nono Ave,Macon,31204,"E,M",July 2024 - June 2027,Statewide,2022-2023,Meets,Meets,Does Not Meet,64,80
7830611,Cirrus Academy Charter School,K-8,1870 Pio Nono Ave,Macon,31204,"E,M",July 2024 - June 2027,Statewide,2019-2020,NA,Approaches,Meets,88,75
